-0.14139,-0.04982,-0.9887, 1
-0.78343,0.03778,-0.62033, 3
-0.10727,-0.45019,-0.88647, 1
0.27052,0.89044,-0.36596, 1
0.02577,-0.94375,-0.32964, 5
0.04292,0.77025,-0.63629, 3
-0.02345,-0.0008,0.99972, 1
-0.93624,0.05372,-0.34722, 3
0.98704,-0.07778,0.14034, 1
-0.17921,0.06468,0.98168, 2
-0.00969,0.14051,0.99003, 2
0.03503,-0.9617,0.27185, 1
0.0281,-0.99724,-0.06873, 5
0.04918,0.99218,0.11471, 1
0.99109,-0.09806,0.09011, 1
-0.06071,0.03074,-0.99768, 3
0.99468,-0.09528,-0.03905, 5
-0.92184,0.06845,-0.38149, 3
